datetime,actual,forecast
2025-01-31,18533.833333333332,17307.838115167295
2025-02-01,17804.916666666668,16303.506591734607
2025-02-02,19115.375,16047.146166673427
2025-02-03,18491.458333333332,17299.76472544975
2025-02-04,18069.25,17339.302839901757
2025-02-05,18778.625,17272.026833921253
2025-02-06,19433.25,17126.93099135261
2025-02-07,18246.708333333332,16885.198992527654
2025-02-08,18129.208333333332,15866.331291592756
2025-02-09,18221.708333333332,15602.739765620017
2025-02-10,18782.458333333332,16855.115907195886
2025-02-11,19255.875,16900.925825772625
2025-02-12,19224.708333333332,16845.818618541693
2025-02-13,18740.541666666668,16718.047081889636
2025-02-14,18440.333333333332,16497.95033126355
2025-02-15,18454.833333333332,15504.104464159796
2025-02-16,17873.125,15267.941976764052
2025-02-17,18780.166666666668,16549.145559070435
2025-02-18,19873.708333333332,16624.168877560558
2025-02-19,19796.791666666668,16597.670257771737
2025-02-20,19815.375,16496.95761349184
2025-02-21,19454.5,16301.493606099964
2025-02-22,17690.708333333332,15329.066638512357
2025-02-23,16986.166666666668,15110.427930851902
2025-02-24,17285.958333333332,16404.699916672394
2025-02-25,17052.125,16487.908268711057
2025-02-26,16273.208333333334,16464.423258232735
2025-02-27,17229.041666666668,16361.408681800727
2025-02-28,16465.333333333332,16158.327322387677
2025-03-01,16296.75,15173.108627256468
2025-03-02,17400.083333333332,14936.779018350057
2025-03-03,17948.083333333332,16208.860326718477
2025-03-04,17511.75,16265.888988529468
2025-03-05,16972.666666666668,16212.842100565535
2025-03-06,16811.208333333332,16077.569016902644
2025-03-07,16918.666666666668,15840.277942057539
2025-03-08,15831.125,14819.683718825087
2025-03-09,15732.08695652174,14547.617755262543
2025-03-10,15365.291666666666,15784.406110147143
2025-03-11,15034.958333333334,15807.368887590661
2025-03-12,15834.791666666666,15722.2275241261
2025-03-13,15598.625,15557.51909588743
2025-03-14,15116.416666666666,15294.067496961428
2025-03-15,14729.5,14251.118023859046
2025-03-16,14607.708333333334,13960.936581124257
2025-03-17,15971.5,15184.179726660497
2025-03-18,15296.208333333334,15198.38883204071
2025-03-19,14763.541666666666,15109.39499038012
2025-03-20,15246.0,14945.733773815966
2025-03-21,15004.416666666666,14688.11959460212
2025-03-22,14789.25,13655.586040724436
2025-03-23,14650.5,13380.093176489332
2025-03-24,16617.791666666668,14621.90774944002
2025-03-25,15778.083333333334,14658.109257917129
2025-03-26,15963.791666666666,14594.008156972039
2025-03-27,15482.0,14457.574926423253
2025-03-28,15575.625,14228.92936405494
2025-03-29,14857.666666666666,13226.49608180191
2025-03-30,15010.458333333334,12981.62681059249
2025-03-31,15434.958333333334,14253.995088561383
2025-04-01,14949.333333333334,14320.115947250248
2025-04-02,16146.958333333334,14284.776568568623
2025-04-03,15729.958333333334,14175.476373033487
2025-04-04,14447.041666666666,13971.925685444177
2025-04-05,14798.5,12992.208789624285
2025-04-06,14482.333333333334,12767.411864271242
2025-04-07,15966.708333333334,14057.021314412465
2025-04-08,16276.333333333334,14137.445105429524
2025-04-09,15835.75,14113.443115328944
2025-04-10,16328.458333333334,14012.565055466106
2025-04-11,16329.75,13814.645238164445
2025-04-12,15881.25,12837.960171861756
2025-04-13,14233.25,12613.849675602822
2025-04-14,14729.583333333334,13902.107250720537
2025-04-15,14896.583333333334,13979.492557009842
2025-04-16,15929.583333333334,13951.152258683145
2025-04-17,14453.25,13845.048042502312
2025-04-18,14352.625,13641.441334429745
2025-04-19,14123.458333333334,12659.040932803156
2025-04-20,12920.916666666666,12429.614471192792
2025-04-21,14973.0,13713.369649358363
2025-04-22,14571.583333333334,13787.458255462681
2025-04-23,14176.333333333334,13757.389393204106
2025-04-24,14485.625,13651.450835148473
2025-04-25,14873.166666666666,13450.18811712844
2025-04-26,14624.541666666666,12472.547649930755
2025-04-27,13323.041666666666,12250.484790229646
2025-04-28,14087.833333333334,13544.342810355276
2025-04-29,14584.75,13631.355765914057
2025-04-30,14392.875,13617.061628622954
2025-05-01,14276.708333333334,13529.724540292624
2025-05-02,15178.458333333334,13349.815722369796
2025-05-03,14965.291666666666,12396.159225292573
2025-05-04,14643.916666666666,12200.54335984549
2025-05-05,15442.208333333334,13523.103646311614
2025-05-06,15210.208333333334,13640.830175541696
2025-05-07,14881.791666666666,13658.985646633393
2025-05-08,15374.625,13605.532838714986
2025-05-09,15510.708333333334,13460.62095920886
2025-05-10,13305.041666666666,12542.736968314704
2025-05-11,13095.208333333334,12383.322645805907
2025-05-12,14590.333333333334,13742.163168273331
2025-05-13,15480.333333333334,13895.900031560068
2025-05-14,15610.375,13949.454531041778
2025-05-15,15779.041666666666,13930.460511454989
2025-05-16,15899.625,13818.755787732873
2025-05-17,15460.083333333334,12932.538298825379
2025-05-18,14669.458333333334,12802.98772445213
2025-05-19,14707.75,14189.658296721494
2025-05-20,14383.875,14368.995603781721
2025-05-21,15417.541666666666,14445.763557819198
2025-05-22,15602.166666666666,14447.480195670027
2025-05-23,15214.958333333334,14353.91166597635
2025-05-24,13766.458333333334,13483.230414009287
2025-05-25,13243.583333333334,13366.638240016215
2025-05-26,13130.875,14763.759907344114
2025-05-27,14718.75,14951.16004133782
2025-05-28,14965.375,15033.7694373416
2025-05-29,15167.583333333334,15039.319396277122
2025-05-30,15200.416666666666,14947.83339920778
2025-05-31,14476.666666666666,14077.782099560674
2025-06-01,13380.875,13960.70228964712
2025-06-02,14173.0,15356.585514527123
2025-06-03,15063.125,15542.389090030805
2025-06-04,16593.625,15623.455680239555
2025-06-05,18774.166666666668,15627.940113154971
2025-06-06,19137.916666666668,15536.292830773606
2025-06-07,16989.458333333332,14667.406062170046
2025-06-08,15525.375,14553.22351119468
2025-06-09,16405.708333333332,15954.119390688234
2025-06-10,16319.916666666666,16147.399740994988
2025-06-11,17036.541666666668,16238.712388125203
2025-06-12,18448.5,16256.464435897222
2025-06-13,17096.625,16181.296914824012
2025-06-14,15041.0,15332.222908593181
2025-06-15,14419.625,15241.230181864408
2025-06-16,16044.666666666666,16668.65436701559
2025-06-17,16795.541666666668,16891.675860201532
2025-06-18,18418.625,17015.726975087244
2025-06-19,20252.791666666668,17068.908415214108
2025-06-20,18543.083333333332,17031.464821829843
2025-06-21,18912.458333333332,16221.925813820015
2025-06-22,20829.208333333332,16171.713596020472
2025-06-23,25238.333333333332,17640.523198493676
2025-06-24,26457.875,17904.828452017427
2025-06-25,26305.208333333332,18069.300150614847
2025-06-26,21034.25,18161.235312204924
2025-06-27,17724.708333333332,18160.04709275572
2025-06-28,18185.0,17383.42152021173
2025-06-29,19943.458333333332,17361.941829033407
2025-06-30,22171.541666666668,18854.486122982165
2025-07-01,23059.708333333332,19136.751103547467
2025-07-02,21280.5,19312.687922029978
2025-07-03,20597.5,19408.948657634603
2025-07-04,17183.125,19404.39256196647
2025-07-05,18327.291666666668,18616.25782535919
2025-07-06,20833.708333333332,18574.79924978275
2025-07-07,23578.291666666668,20038.697185312154
2025-07-08,23937.166666666668,20283.59013271549
2025-07-09,23197.0,20413.516780987466
2025-07-10,22114.583333333332,20455.365747538755
2025-07-11,22224.208333333332,20388.381989295027
2025-07-12,21443.291666666668,19530.33553676804
2025-07-13,21265.208333333332,19412.1529062246
2025-07-14,23108.583333333332,20793.316594115167
2025-07-15,23052.25,20950.38518120228
2025-07-16,24466.583333333332,20988.42001741214
2025-07-17,24780.333333333332,20935.41703112152
2025-07-18,20533.375,20771.792976559656
2025-07-19,18933.208333333332,19816.532179053174
2025-07-20,21164.083333333332,19601.794594620635
2025-07-21,20579.041666666668,20888.291092962878
2025-07-22,18467.791666666668,20953.779027902972
2025-07-23,19452.333333333332,20904.464622138243
2025-07-24,21859.916666666668,20769.411271358415
2025-07-25,23984.958333333332,20530.003634556077
2025-07-26,20893.916666666668,19506.074101005222
2025-07-27,20738.958333333332,19230.492945273312
2025-07-28,24102.75,20464.528525079484
2025-07-29,25438.291666666668,20486.330970967658
2025-07-30,25163.0,20402.3262077439
2025-07-31,22157.0,20241.619645610554
2025-08-01,17363.333333333332,19985.459552801527
2025-08-02,16162.041666666666,18953.366753108094
2025-08-03,16814.041666666668,18677.731917419478
2025-08-04,19610.208333333332,19919.186666988855
2025-08-05,20296.416666666668,19955.101707571564
2025-08-06,19784.666666666668,19890.9985166328
2025-08-07,19230.625,19754.973523068857
2025-08-08,18761.041666666668,19527.184321224147
2025-08-09,18124.75,18526.004032223165
2025-08-10,19134.416666666668,18282.644504107106
2025-08-11,21477.208333333332,19556.553957490596
2025-08-12,22546.208333333332,19623.94166717038
2025-08-13,23238.666666666668,19589.21557093229
2025-08-14,22492.833333333332,19479.431127908138
2025-08-15,21571.75,19273.800380875356
2025-08-16,20534.583333333332,18289.86679266567
2025-08-17,20779.291666666668,18058.146064057226
2025-08-18,17927.875,19337.538126881733
2025-08-19,17244.208333333332,19403.862571610753
2025-08-20,17209.333333333332,19361.30316008544
2025-08-21,16063.708333333334,19236.859601850185
2025-08-22,16613.166666666668,19009.8555050879
2025-08-23,16687.041666666668,17998.108130605156
2025-08-24,17270.666666666668,17732.560314422404
2025-08-25,18661.0,18972.680006918043
2025-08-26,17114.583333333332,18994.98003079651
